gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000000003,TSPAN6,0.0281015441395629,4.54782315306027,0.921774266657314,1
ENSG00000000419,DPM1,-0.13637646995973,4.82875079148782,0.694433885450272,1
ENSG00000000457,SCYL3,0.0571522540704277,3.24354843360219,0.875594048553271,1
ENSG00000000460,C1orf112,0.125528980016107,2.26735163156701,0.771076114573755,1
ENSG00000000971,CFH,-0.431408129644127,6.77625344356881,0.411313101731509,0.993938153066227
ENSG00000001036,FUCA2,0.0573855808049201,5.39332716681694,0.851334444842417,1
ENSG00000001084,GCLC,0.0594547538864196,3.28971523630396,0.867739546885816,1
ENSG00000001167,NFYA,0.794451350848026,4.77021038322149,0.0152229875774474,0.361534932886194
ENSG00000001460,STPG1,0.644530340840876,1.40390508493265,0.242843979919138,0.946611797053345
ENSG00000001461,NIPAL3,0.578889674084708,3.94772795218653,0.426506634793734,0.995769244364858
ENSG00000001497,LAS1L,0.136683479269573,4.62999267966225,0.651969089499841,1
ENSG00000001561,ENPP4,-0.358866810995338,5.12907961715258,0.398123159661323,0.993744537711337
ENSG00000001617,SEMA3F,0.80182280304032,2.20566154774782,0.107302767100605,0.790908510011357
ENSG00000001629,ANKIB1,0.324238543131646,5.08762571348792,0.291488989418453,0.964529428017078
ENSG00000001630,CYP51A1,-0.471568318881012,6.73046843519097,0.351614280618875,0.983990794802764
ENSG00000001631,KRIT1,-0.257851133056855,4.24543332925154,0.514150860693181,1
ENSG00000002016,RAD52,0.0403390662851554,3.22261810246954,0.919287174358873,1
ENSG00000002079,MYH16,-0.739849878614148,-3.12960810039612,0.454696117467422,1
ENSG00000002330,BAD,-0.0582058438807952,5.19724056915807,0.870846165295483,1
ENSG00000002549,LAP3,-0.115918023023785,5.80873391680719,0.760470478643104,1
ENSG00000002586,CD99,0.241926285620339,8.61236659762243,0.65618398958266,1
ENSG00000002726,AOC1,4.28716682874713,-2.17463137547608,0.000957080235170115,0.0573602918471617
ENSG00000002745,WNT16,0.329123436703957,-2.294109983254,0.706160351712919,1
ENSG00000002746,HECW1,-1.85365902003332,-3.21238260322937,0.0910400336365251,0.764687579969754
ENSG00000002822,MAD1L1,0.116816291503477,4.68441314270522,0.708107717860517,1
ENSG00000002834,LASP1,0.23788975720479,7.58125331906482,0.519753741225243,1
ENSG00000002919,SNX11,0.490672360265056,4.80157225454511,0.180115158385705,0.893290799469409
ENSG00000003056,M6PR,0.0577746847136608,7.0001579255183,0.841742470236842,1
ENSG00000003096,KLHL13,-0.328129387142247,1.00621371683299,0.582161534533679,1
ENSG00000003137,CYP26B1,0.738134925737302,3.56056532663248,0.270597529907965,0.957935353798731
ENSG00000003147,ICA1,-0.373889762345693,-2.569270376086,0.654566336716507,1
ENSG00000003249,DBNDD1,0.241292159152024,4.96186651647007,0.59442355172082,1
ENSG00000003393,ALS2,0.532171226110041,5.82074799792098,0.0770413103429374,0.725698370968415
ENSG00000003400,CASP10,-0.2046321288599,-1.26009516579472,0.798708622009636,1
ENSG00000003402,CFLAR,-0.382619093667432,6.45147608007502,0.288504241714536,0.964529428017078
ENSG00000003436,TFPI,-0.0177238702880709,6.12573377680287,0.977088185316224,1
ENSG00000003509,NDUFAF7,-0.130775445544466,3.9838365127298,0.771628021634728,1
ENSG00000003756,RBM5,0.175766207301167,6.73334169483323,0.590301400254512,1
ENSG00000003987,MTMR7,-0.0344449850275895,-0.0957074779213371,0.966918656623406,1
ENSG00000003989,SLC7A2,-1.31682876829064,3.56106562512786,0.131218451371663,0.839887417934699
ENSG00000004059,ARF5,-0.0807004065141646,6.54339958116398,0.798322523466581,1
ENSG00000004139,SARM1,0.0805862965894329,2.94343476300469,0.837612670286762,1
ENSG00000004142,POLDIP2,-0.0688589497353893,6.06522237514943,0.830128161485885,1
ENSG00000004399,PLXND1,-0.568607587733451,7.23116425696173,0.264747232336721,0.953800284224183
ENSG00000004455,AK2,-0.360206205029666,7.63128568984088,0.293288452687024,0.964971799594275
ENSG00000004478,FKBP4,0.271610751658325,6.41227540395194,0.410893536450002,0.993938153066227
ENSG00000004487,KDM1A,0.12964823839457,6.32228790514776,0.641763095636275,1
ENSG00000004534,RBM6,0.194478314075769,6.22799447109455,0.548517600443007,1
ENSG00000004660,CAMKK1,0.795674870604579,1.53136441638175,0.100446590421415,0.78036012701996
ENSG00000004700,RECQL,0.128754445023855,5.74999688174396,0.661020976699532,1
ENSG00000004766,VPS50,-0.472131185963746,4.45739723696352,0.215364879067232,0.923492413948415
ENSG00000004776,HSPB6,-2.99659443936904,8.61495782694724,7.7250332653928e-05,0.00683905849586808
ENSG00000004777,ARHGAP33,0.137421276491162,1.43524693987247,0.774602028032895,1
ENSG00000004779,NDUFAB1,-0.126147962006409,6.54455893591993,0.754862938251537,1
ENSG00000004799,PDK4,-0.680305229994007,2.61103482585555,0.621483624962229,1
ENSG00000004838,ZMYND10,0.524364829454867,-1.23973186876835,0.326863688494963,0.976587940521132
ENSG00000004848,ARX,-1.12879748871293,3.39557567594602,0.00494932471280806,0.189511224648696
ENSG00000004864,SLC25A13,0.186302473654131,3.58539497493155,0.64586678418917,1
ENSG00000004866,ST7,0.159176918287237,3.70925483368602,0.715451410138606,1
ENSG00000004897,CDC27,0.0865457871864943,6.69607293368303,0.760015910709225,1
ENSG00000004961,HCCS,-0.4807890849921,5.53926578488898,0.13223353468504,0.842800427123084
ENSG00000004975,DVL2,0.225611923764642,5.59078030315,0.513471796761828,1
ENSG00000005007,UPF1,0.37402382187131,6.48727471394708,0.23058337446917,0.937537090296593
