gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000075240,GRAMD4,-0.057719457,3.92901317,0.60581382,0.955535892
ENSG00000075275,CELSR1,-0.091866851,-1.209683963,0.794007295,0.986726435
ENSG00000075290,WNT8B,0.161612031,-0.730239229,0.656035517,0.965632292
ENSG00000075292,ZNF638,-0.057483082,5.901734386,0.505928967,0.933335602
ENSG00000075303,SLC25A40,-0.197887594,2.955382779,0.200101826,0.812365366
ENSG00000075336,TIMM21,0.007461577,5.044602354,0.939631977,1
ENSG00000075340,ADD2,-0.444254036,-0.006636173,0.103681989,0.730036805
ENSG00000075391,RASAL2,0.073003763,4.269424916,0.719059989,0.976672038
ENSG00000075399,VPS9D1,0.011163937,3.458599605,0.935479994,1
ENSG00000075407,ZNF37A,-0.065533787,3.289394858,0.586327318,0.950477282
ENSG00000075413,MARK3,-0.01807075,5.770601632,0.845958141,0.990407274
ENSG00000075415,SLC25A3,0.001794718,9.056388031,0.987931798,1
ENSG00000075420,FNDC3B,-0.079314788,4.498340076,0.592719466,0.952524655
ENSG00000075426,FOSL2,-0.235480426,5.304801294,0.295238915,0.871485245
ENSG00000075539,FRYL,-0.132607408,3.854806534,0.200462225,0.812705982
ENSG00000075568,TMEM131,-0.220718323,6.186898274,0.070378673,0.681461485
ENSG00000075618,FSCN1,-0.652040259,2.917871754,0.022063715,0.562734205
ENSG00000075624,ACTB,0.029228012,8.488117723,0.836723038,0.989810132
ENSG00000075643,MOCOS,0.096903542,-0.844395807,0.732985156,0.978063493
ENSG00000075651,PLD1,-0.373539605,1.370837677,0.083579311,0.701433278
ENSG00000075702,WDR62,-0.219324531,6.638834687,0.324332137,0.885700282
ENSG00000075711,DLG1,0.041720228,4.747629873,0.781671955,0.985862059
ENSG00000075785,RAB7A,0.069465296,7.578466563,0.434732446,0.919999295
ENSG00000075790,BCAP29,0.053507396,5.325833591,0.649690928,0.963619313
ENSG00000075826,SEC31B,0.015625959,6.462937392,0.908424383,0.996678624
ENSG00000075856,SART3,-0.046958896,4.809671172,0.572764947,0.94790268
ENSG00000075884,ARHGAP15,-0.101275601,-0.524670392,0.683231419,0.970902
ENSG00000075886,TUBA3D,-0.187174422,-1.610021444,0.325996046,0.88582198
ENSG00000075914,EXOSC7,0.134840093,5.005123918,0.403914551,0.911668226
ENSG00000075945,KIFAP3,-0.003429674,4.227948196,0.969187662,1
ENSG00000075975,MKRN2,-0.044081495,4.99930351,0.666956522,0.967425184
ENSG00000076003,MCM6,0.003139277,3.340271949,0.976780752,1
ENSG00000076043,REXO2,0.312739382,4.138672108,0.023303112,0.568173609
ENSG00000076053,RBM7,0.001050242,3.907298587,0.991561159,1
ENSG00000076067,RBMS2,-0.309385479,3.364305526,0.118210186,0.743245622
ENSG00000076108,BAZ2A,-0.198510721,6.107035077,0.051230414,0.647371016
ENSG00000076201,PTPN23,0.043977551,5.498437567,0.651478403,0.964279184
ENSG00000076242,MLH1,0.068009788,5.537933782,0.375717205,0.905857646
ENSG00000076248,UNG,0.071300835,4.768387017,0.531984338,0.940476161
ENSG00000076258,FMO4,-0.10282956,0.027476189,0.679089257,0.970005
ENSG00000076321,KLHL20,-0.190050658,3.818701791,0.084015883,0.701810401
ENSG00000076344,RGS11,0.18810894,1.97601918,0.455362273,0.924541426
ENSG00000076351,SLC46A1,-0.099620964,2.058241933,0.378453409,0.905857646
ENSG00000076356,PLXNA2,0.080237835,4.761018223,0.674459409,0.968685933
ENSG00000076382,SPAG5,0.042350936,-0.35836151,0.878507217,0.992549189
ENSG00000076513,ANKRD13A,-0.069118192,4.022398555,0.572667902,0.94790268
ENSG00000076554,TPD52,-0.159890122,3.032829672,0.581032108,0.949610237
ENSG00000076555,ACACB,0.213178242,7.147288739,0.191859757,0.807363808
ENSG00000076604,TRAF4,0.353979336,-0.07758544,0.094188818,0.71490591
ENSG00000076641,PAG1,-0.418330979,1.633204508,0.054106108,0.651246847
ENSG00000076650,GPATCH1,0.057610978,1.975380123,0.705765866,0.973595399
ENSG00000076662,ICAM3,0.022750011,2.793074182,0.876214924,0.992229803
ENSG00000076685,NT5C2,-0.202406058,6.891307377,0.173083548,0.79631752
ENSG00000076706,MCAM,-0.517100501,5.17005617,0.077507965,0.693465336
ENSG00000076716,GPC4,-0.085599508,4.801138402,0.537326027,0.941987018
